cnpj,cvm_code,root,company,trading_name,ticker
94.813.102/0001-70,25950,TTEN,TRÊS TENTOS AGROINDUSTRIAL S/A,3TENTOS,TTEN3
28.195.667/0001-06,20958,ABCB,BCO ABC BRASIL S.A.,ABC BRASIL,ABCB4
82.643.537/0001-34,5380,EALT,ELECTRO ACO ALTONA S.A.,ACO ALTONA,EALT3
82.643.537/0001-34,5380,EALT,ELECTRO ACO ALTONA S.A.,ACO ALTONA,EALT4
12.528.708/0001-07,25283,AERI,AERIS IND. E COM. DE EQUIP. GERACAO DE ENERGIA S/A,AERIS,AERI3
10.338.320/0001-00,22179,AFLT,AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S/A,AFLUENTE T,AFLT3
17.167.396/0001-69,9954,RPAD,ALFA HOLDINGS S.A.,ALFA HOLDING,RPAD3
17.167.396/0001-69,9954,RPAD,ALFA HOLDINGS S.A.,ALFA HOLDING,RPAD5
17.167.396/0001-69,9954,RPAD,ALFA HOLDINGS S.A.,ALFA HOLDING,RPAD6
42.771.949/0001-35,24058,AALR,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,ALLIAR,AALR3
20.247.322/0001-47,25330,ALLD,ALLIED TECNOLOGIA S.A.,ALLIED,ALLD3
05.878.397/0001-32,22357,ALOS,ALLOS S.A,ALLOS,ALOS3
61.079.117/0001-05,10456,ALPA,ALPARGATAS S.A.,ALPARGATAS,ALPA3
61.079.117/0001-05,10456,ALPA,ALPARGATAS S.A.,ALPARGATAS,ALPA4
16.811.931/0001-00,25275,AVLL,ALPHAVILLE S.A.,ALPHAVILLE,AVLL3
08.364.948/0001-38,21490,ALUP,ALUPAR INVESTIMENTO S/A,ALUPAR,ALUP11
08.364.948/0001-38,21490,ALUP,ALUPAR INVESTIMENTO S/A,ALUPAR,ALUP3
08.364.948/0001-38,21490,ALUP,ALUPAR INVESTIMENTO S/A,ALUPAR,ALUP4
04.902.979/0001-44,922,BAZA,BCO AMAZONIA S.A.,AMAZONIA,BAZA3
07.526.557/0001-00,23264,ABEV,AMBEV S.A.,AMBEV S/A,ABEV3
33.050.071/0001-58,3050,CBEE,AMPLA ENERGIA E SERVICOS S.A.,AMPLA ENERG,CBEE3
09.288.252/0001-32,23248,ANIM,ANIMA HOLDING S.A.,ANIMA,ANIM3
14.127.813/0001-51,25887,ARND,ARANDU INVESTIMENTOS S.A.,ARANDU,ARND3
00.242.184/0001-04,26069,ARML,ARMAC LOCAÇÃO. LOGÍSTICA E SERVIÇOS S.A.,ARMAC,ARML3
06.057.223/0001-71,25372,ASAI,SENDAS DISTRIBUIDORA S.A.,ASSAI,ASAI3
23.994.857/0001-70,27677,ATED,ATOM EDUCAÇÃO E EDITORA S.A.,ATOM EDUC,ATED3
28.594.234/0001-23,26620,AURE,AUREN ENERGIA S.A.,AUREN,AURE3
35.654.688/0001-08,27707,AMOB,AUTOMOB PARTICIPAÇÕES S.A.,AUTOMOB,AMOB3
00.001.180/0001-26,2437,AXIA,AXIA ENERGIA S.A.,AXIA ENERGIA,AXIA3
00.001.180/0001-26,2437,AXIA,AXIA ENERGIA S.A.,AXIA ENERGIA,AXIA5
00.001.180/0001-26,2437,AXIA,AXIA ENERGIA S.A.,AXIA ENERGIA,AXIA6
00.001.180/0001-26,2437,AXIA,AXIA ENERGIA S.A.,AXIA ENERGIA,AXIA7
61.351.532/0001-68,11975,AZEV,AZEVEDO E TRAVASSOS S.A.,AZEVEDO,AZEV3
61.351.532/0001-68,11975,AZEV,AZEVEDO E TRAVASSOS S.A.,AZEVEDO,AZEV4
52.017.473/0001-03,27626,AZTE,AZEVEDO & TRAVASSOS ENERGIA S.A.,AZT ENERGIA,AZTE3
09.305.994/0001-29,24112,AZUL,AZUL S.A.,AZUL,AZUL3
16.590.234/0001-76,22349,AZZA,AZZAS 2154 S.A.,AZZAS 2154,AZZA3
61.186.680/0001-74,24600,BMGB,BANCO BMG S.A.,BANCO BMG,BMGB4
13.009.717/0001-46,1120,BGIP,BCO ESTADO DE SERGIPE S.A. - BANESE,BANESE,BGIP3
13.009.717/0001-46,1120,BGIP,BCO ESTADO DE SERGIPE S.A. - BANESE,BANESE,BGIP4
28.127.603/0001-78,1155,BEES,BANESTES S.A. - BCO EST ESPIRITO SANTO,BANESTES,BEES3
28.127.603/0001-78,1155,BEES,BANESTES S.A. - BCO EST ESPIRITO SANTO,BANESTES,BEES4
04.913.711/0001-08,1171,BPAR,BCO ESTADO DO PARA S.A.,BANPARA,BPAR3
92.702.067/0001-96,1210,BRSR,BCO ESTADO DO RIO GRANDE DO SUL S.A.,BANRISUL,BRSR3
92.702.067/0001-96,1210,BRSR,BCO ESTADO DO RIO GRANDE DO SUL S.A.,BANRISUL,BRSR5
92.702.067/0001-96,1210,BRSR,BCO ESTADO DO RIO GRANDE DO SUL S.A.,BANRISUL,BRSR6
61.374.161/0001-30,1562,BALM,BAUMER S.A.,BAUMER,BALM3
61.374.161/0001-30,1562,BALM,BAUMER S.A.,BAUMER,BALM4
17.344.597/0001-94,23159,BBSE,BB SEGURIDADE PARTICIPAÇÕES S.A.,BBSEGURIDADE,BBSE3
09.042.817/0001-05,25500,BMOB,BEMOBI MOBILE TECH S.A.,BEMOBI TECH,BMOB3
56.992.423/0001-90,1694,BMKS,BICICLETAS MONARK S.A.,BIC MONARK,BMKS3
45.987.245/0001-92,701,BIED,BIOMA EDUCAÇÃO S.A.,BIOMA EDUC,BIED3
04.752.991/0001-10,19305,BIOM,BIOMM S.A.,BIOMM,BIOM3
58.430.828/0001-60,24627,BLAU,BLAU FARMACÊUTICA S.A.,BLAU,BLAU3
10.807.374/0001-77,25704,SOJA,BOA SAFRA SEMENTES S.A.,BOA SAFRA,SOJA3
10.739.356/0001-03,25860,BRBI,BRBI BR PARTNERS S.A.,BR PARTNERS,BRBI11
60.746.948/0001-12,906,BBDC,BCO BRADESCO S.A.,BRADESCO,BBDC3
60.746.948/0001-12,906,BBDC,BCO BRADESCO S.A.,BRADESCO,BBDC4
03.847.461/0001-92,18724,BRAP,BRADESPAR S.A.,BRADESPAR,BRAP3
03.847.461/0001-92,18724,BRAP,BRADESPAR S.A.,BRADESPAR,BRAP4
58.119.199/0001-51,20125,SAUD,BRADSAUDE S.A.,BRADSAUDE,SAUD3
00.000.000/0001-91,1023,BBAS,BCO BRASIL S.A.,BRASIL,BBAS3
07.628.528/0001-59,20036,AGRO,BRASILAGRO - CIA BRAS DE PROP AGRICOLAS,BRASILAGRO,AGRO3
42.150.391/0001-70,4820,BRKM,BRASKEM S.A.,BRASKEM,BRKM3
42.150.391/0001-70,4820,BRKM,BRASKEM S.A.,BRASKEM,BRKM5
42.150.391/0001-70,4820,BRKM,BRASKEM S.A.,BRASKEM,BRKM6
12.091.809/0001-55,25291,BRAV,BRAVA ENERGIA S.A.,BRAVA,BRAV3
